poř.,titul,titul orig.,distributor,formát,premiéra,produkce,předst.,diváci,tržby,předst._celkem,diváci_celkem,tržby_celkem,rok,předst,předst_celkem,číslo,úprava,kopií,čisté tržby,pořadí,český název,orig. název,země,diváků,čistá tržba,titul cz,titul orig,prod
24,Poslední závod,Poslední závod,Bontonfilm ,"2D, MP4",2022-03-24 00:00:00,CZE,4137,140470,18463749.89,4137,140470,18463749.89,2022,,,,,,,,,,,,,,,
25,Tři Tygři ve filmu: Jackpot,Tři Tygři ve filmu: Jackpot,Bontonfilm ,"2D, MP4",2022-05-26 00:00:00,CZE,4401,140036,21390429.45,4401,140036,21390429.45,2022,,,,,,,,,,,,,,,
26,Mimořádná událost,Mimořádná událost,CinemArt ,"2D, MP4",2022-02-03 00:00:00,CZE,5213,131674,18560087.31,5213,131674,18560087.31,2022,,,,,,,,,,,,,,,
27,Za vším hledej ženu,Za vším hledej ženu,Falcon ,"2D, MP4",2022-10-20 00:00:00,CZE,4475,121147,20225505.36,4475,121147,20225505.36,2022,,,,,,,,,,,,,,,
28,Bullet Train,Bullet Train,Falcon ,"2D, IM2, 4D2",2022-08-04 00:00:00,USA,6632,118905,21028914.96,6632,118905,21028914.96,2022,,,,,,,,,,,,,,,
29,Princ Mamánek,Princ Mamánek,Bontonfilm ,"2D, MP4",2022-10-27 00:00:00,CZE,4430,118786,16877431.16,4430,118786,16877431.16,2022,,,,,,,,,,,,,,,
30,Velký červený pes Clifford,Clifford the Big Red Dog,CinemArt ,"DVD, 2D",2022-01-06 00:00:00,USA,5131,111673,15347689.17,5196,112796,15518747.17,2022,,,,,,,,,,,,,,,
31,Prezidentka,Prezidentka,Bioscop/AQS ,"DVD, 2D, MP4",2022-06-23 00:00:00,CZE,4021,105922,12674418.68,4021,105922,12674418.68,2022,,,,,,,,,,,,,,,
32,Proměna,Turning Red,Falcon ,"2D, 3D, 2DL",2022-03-10 00:00:00,USA,5211,105382,15573158.69,5211,105382,15573158.69,2022,,,,,,,,,,,,,,,
33,Vstupenka do ráje,Ticket to Paradise,CinemArt ,2D,2022-09-15 00:00:00,USA,5101,104137,17362238.79,5101,104137,17362238.79,2022,,,,,,,,,,,,,,,
34,Zlouni,The Bad Guys,CinemArt ,"DVD, 2D, BR",2022-04-14 00:00:00,USA,4632,103383,14772445.44,4632,103383,14772445.44,2022,,,,,,,,,,,,,,,
35,Princezna rebelka ,Pil’s Adventures,Bontonfilm ,"2D, MP4",2022-08-18 00:00:00,FRA,5265,102839,14438793.1,5265,102839,14438793.1,2022,,,,,,,,,,,,,,,
36,Black Adam,Black Adam,Vertical Ent. ,"2D, IM2, 4D2",2022-10-20 00:00:00,USA,5042,101523,19641621.57,5042,101523,19641621.57,2022,,,,,,,,,,,,,,,
37,Šoumen krokodýl,Lyle Lyle Crocodile,Falcon ,"2D, 4D2",2022-10-26 00:00:00,USA,4794,99697,15612940.94,4794,99697,15612940.94,2022,,,,,,,,,,,,,,,
38,Úsměv,Smile,CinemArt ,2D,2022-09-29 00:00:00,USA,3807,97877,17730937.16,3807,97877,17730937.16,2022,,,,,,,,,,,,,,,
39,Grand Prix,Grand Prix,Falcon ,"2D, MP4",2022-11-17 00:00:00,CZE,4031,93783,15652606.34,4031,93783,15652606.34,2022,,,,,,,,,,,,,,,
40,"V létě ti řeknu, jak se mám","V létě ti řeknu, jak se mám",Falcon ,"2D, MP4",2022-02-17 00:00:00,CZE,3907,92407,14121076.46,3907,92407,14121076.46,2022,,,,,,,,,,,,,,,
41,Betlémské světlo,Betlémské světlo,Bioscop/AQS ,"DVD, 2D, MP4",2022-03-10 00:00:00,CZE,4486,91306,12108541.2,4486,91306,12108541.2,2022,,,,,,,,,,,,,,,
42,Elvis,Elvis,Vertical Ent. ,"2D, IM2",2022-06-23 00:00:00,USA,3884,90550,15313417.12,3884,90550,15313417.12,2022,,,,,,,,,,,,,,,
43,Zátopek,Zátopek,Falcon ,"2D, MP4",2021-08-26 00:00:00,CZE,1067,88233,5666065,9548,481911,65026237.72,2022,,,,,,,,,,,,,,,
44,Spolu,Spolu,Bontonfilm ,"2D, MP4",2022-09-29 00:00:00,CZE,3029,82948,13103096.91,3029,82948,13103096.91,2022,,,,,,,,,,,,,,,
45,Encanto,Encanto,Falcon ,"2D, 3D",2021-11-25 00:00:00,USA,2847,79816,10942584,6758,121836,17241047.8,2022,,,,,,,,,,,,,,,
46,Kocour v botách: Poslední přání,Puss in Boots: The Last Wish,CinemArt ,2D,2022-12-22 00:00:00,USA,2156,78223,13074675.54,2156,78223,13074675.54,2022,,,,,,,,,,,,,,,
47,Il Boemo,Il Boemo,Pilot Film ,"2D, MP4",2022-10-20 00:00:00,CZE,2299,76367,10007245,2299,76367,10007245,2022,,,,,,,,,,,,,,,
48,Avatar /obnovená premiéra/,Avatar,Falcon ,"2D, 3D, HF3, IM3, 4D3",2022-09-22 00:00:00,USA,2892,74985,12860042.39,2892,74985,12860042.39,2022,,,,,,,,,,,,,,,
49,Morbius,Morbius,Falcon ,"2D, IM2, 4D2, 2DL",2022-03-31 00:00:00,USA,3829,73794,12852560.41,3829,73794,12852560.41,2022,,,,,,,,,,,,,,,
50,Trojúhelník smutku,Triangle of Sadness,Aerofilms ,"2D, MP4",2022-10-06 00:00:00,SWE,2019,72633,11993805.54,2019,72633,11993805.54,2022,,,,,,,,,,,,,,,
