poř,min_poř,film,distributor,prod,formát,poč_týd,poč_kin,víkend_tržby,víkend_diváci,změna_v_%,poč_kin,min_týden_tržby,min_týden_diváci,celkem_tržby,celkem_diváci,rok,tyden
7,5,Fantastická zvířata: Brumbálova tajemství,Vertical Entertainment s.r.o.,USA,2D,6,50,522137,3042,-0.5378,74,1395940,8154,45587009.66,259767,2022,19
8,6,Zlouni,"Cinemart, a.s.",USA,2D,5,65,457566.16,2903,-0.5301,102,1046284,6809,9692364.26,62677,2022,19
9,,Žhářka,"Cinemart, a.s.",USA,2D,1,99,285754,1696,,1,0,0,285754,1696,2022,19
10,,Film roku,BONTONFILM a.s.,ESP,2D,1,61,231003,1546,,,,,250134,2300,2022,19
11,10,Seveřan,"Cinemart, a.s.",USA,2D,5,25,165406,929,-0.4748,36,437225,2486,5093619.1,30834,2022,19
12,8,Promlčeno,BONTONFILM a.s.,CZE,"2D, MP4",3,31,123253,790,-0.7465,79,621620,3943,2425334.88,16916,2022,19
13,7,Láska hory přenáší,BONTONFILM a.s.,CZE,"2D, MP4",2,64,122457,830,-0.8249,157,882216.1,5554,1004673.1,6980,2022,19
14,,Pražský výběr: Symphony Bizarre,BONTONFILM a.s.,CZE,"2D, MP4",1,70,90836,632,,,,,90836,632,2022,19
15,14,Známí neznámí,"Cinemart, a.s.",CZE,2D,7,24,76326,606,-0.4465,47,205526,1572,22061172.12,132231,2022,19
16,11,Proměna,FALCON a.s.,USA,"2D, 3D",10,20,73707,559,-0.5845,30,204072,1424,14500778.49,94156,2022,19
17,,Divoch,FILM EUROPE s.r.o.,DNK,"2D, MP4",1,36,72628,470,,1,4097,23,209237,1498,2022,19
18,12,Poslední závod,BONTONFILM a.s.,CZE,"2D, MP4",8,22,62848,631,-0.6076,52,280421,2643,16247556.89,112608,2022,19
19,15,Tajemství staré bambitky 2,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",14,15,60563,765,-0.2853,38,138848,2127,50156357.93,355387,2022,19
20,,Mára jde do nebe,BONTONFILM a.s.,CZE,2D,-1,4,56120,128,,,,,56120,128,2022,19
1,,Doctor Strange v mnohovesmíru šílenství,FALCON a.s.,USA,"2D, 3D, IM3, 4D3, DB2, 2DL",1,207,25753310.31,150117,,52,3340343.03,19268,29093653.34,169385,2022,18
2,1,Vyšehrad: Fylm,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",4,149,6318981.77,36665,-0.3247,166,12741881.76,73924,84491186.83,492369,2022,18
3,2,Po čem muži touží 2,"Cinemart, a.s.",CZE,2D,3,100,3177606,18213,-0.3923,170,6838988.65,41161,26219082.37,160279,2022,18
4,4,Ježek Sonic 2,"Cinemart, a.s.",USA,2D,6,131,2181160,14145,-0.0075,120,2531540,16217,44263612.8,284005,2022,18
5,3,Fantastická zvířata: Brumbálova tajemství,Vertical Entertainment s.r.o.,USA,"2D, DB2",5,63,1129657,6603,-0.505,92,2825628.66,15847,43603845.66,254580,2022,18
6,6,Zlouni,"Cinemart, a.s.",USA,2D,4,96,973646,6282,-0.0015,114,1105241,7273,9154533.5,59185,2022,18
7,144,Láska hory přenáší,BONTONFILM a.s.,CZE,2D,1,135,699316,4349,,2,0,596,699316,4945,2022,18
8,5,Promlčeno,BONTONFILM a.s.,CZE,"2D, MP4",2,66,486050,3065,-0.5952,198,1666581.88,11012,2152631.88,15148,2022,18
9,7,Seveřan,"Cinemart, a.s.",USA,2D,4,28,314912,1759,-0.4213,56,771243,4691,4801990.1,28999,2022,18
10,10,Proměna,FALCON a.s.,USA,2D,9,27,177363,1177,-0.3525,40,315496,2051,14363104.49,93140,2022,18
11,12,Poslední závod,BONTONFILM a.s.,CZE,"2D, MP4",7,32,160124,1369,-0.3371,70,535099,5160,15946802.89,109815,2022,18
12,8,Panství Downton: Nová éra,"Cinemart, a.s.",GBR,2D,2,32,153524,904,-0.6966,154,713209.1,4514,868002.1,5572,2022,18
13,9,Známí neznámí,"Cinemart, a.s.",CZE,2D,6,30,137887,983,-0.6613,77,659601,4154,21887302.12,130813,2022,18
14,17,Tajemství staré bambitky 2,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",13,28,84729,1547,-0.1041,35,123404,1581,50015958.93,353458,2022,18
15,15,Amélie z Montmartru,AEROFILMS s.r.o.,FRA,2D,4,15,78410,580,-0.3366,28,177344,1294,748489,5360,2022,18
16,25,Encanto,FALCON a.s.,USA,2D,24,9,55649,567,0.1413,10,61472,499,16515267.8,110907,2022,18
17,27,Mimi & Líza - Zahrada,Pilot Film s.r.o.,CZE,"2D, MP4",3,35,55344,533,0.3285,55,50698,492,300894,2862,2022,18
18,14,Ztracené město,"Cinemart, a.s.",USA,2D,7,3,48586,258,-0.6103,17,160930,926,9882574.5,55869,2022,18
19,22,Příšerákovi 2,"AQS, a.s. (divize BIOSCOP)",DEU,2D,7,17,45785,373,-0.2581,33,68022,665,4454049.16,29691,2022,18
20,24,Nejhorší člověk na světě,AEROFILMS s.r.o.,NOR,"2D, MP4",8,7,43422,291,-0.1865,17,97076,760,3318275.32,23553,2022,18
1,1,Vyšehrad: Fylm,"AQS, a.s. (divize BIOSCOP)",CZE,2D,3,129,9356071.1,53324,-0.4838,166,24445742.82,139728,74786394.4,435104,2022,17
2,2,Po čem muži touží 2,"Cinemart, a.s.",CZE,2D,2,157,5228889.32,31233,-0.5608,230,15074539.4,93612,21431377.04,132138,2022,17
3,3,Fantastická zvířata: Brumbálova tajemství,Vertical Entertainment s.r.o.,USA,"2D, IM2, 4D2, DB2",4,81,2281827,12656,-0.5406,124,6004724.44,34342,41930387,244786,2022,17
4,4,Ježek Sonic 2,"Cinemart, a.s.",USA,"2D, 4D2",5,120,2197511,14077,-0.5275,117,5206165,32725,41748423.8,267720,2022,17
5,,Promlčeno,BONTONFILM a.s.,CZE,"2D, MP4",1,171,1200573.88,7903,,3,0,1071,1200573.88,8974,2022,17
6,5,Zlouni,"Cinemart, a.s.",USA,2D,3,111,975044,6376,-0.5766,124,2533624,16290,8050690.5,52006,2022,17
7,6,Seveřan,"Cinemart, a.s.",USA,2D,3,44,544080,3145,-0.4272,79,1312206.1,7721,4259915.1,25694,2022,17
8,,Panství Downton: Nová éra,"Cinemart, a.s.",GBR,2D,1,138,505919.1,3230,,2,1269,154,507188.1,3384,2022,17
9,7,Známí neznámí,"Cinemart, a.s.",CZE,2D,5,54,407106,2377,-0.5377,92,1343473,7933,21496920.12,128053,2022,17
10,8,Proměna,FALCON a.s.,USA,"2D, 3D",8,39,273919,1770,-0.6002,51,739552,4849,14144164.49,91682,2022,17
11,9,Poslední závod,BONTONFILM a.s.,CZE,"2D, MP4",6,41,241516,2198,-0.5634,75,939715,7321,15493095.89,105484,2022,17
12,11,Ztracené město,"Cinemart, a.s.",USA,2D,6,12,124656,686,-0.4691,21,292437,1574,9797714.5,55371,2022,17
13,18,Amélie z Montmartru,AEROFILMS s.r.o.,FRA,"2D, MP4",3,18,118188,859,0.0156,12,171606,1257,610923,4345,2022,17
14,10,Morbius,FALCON a.s.,USA,"2D, IM2",5,20,111707,605,-0.6816,37,426933,2373,12609399.41,72929,2022,17
15,15,Tajemství staré bambitky 2,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",12,29,94574,934,-0.487,44,243505,3356,49902399.93,351264,2022,17
16,13,Batman,Vertical Entertainment s.r.o.,USA,2D,9,7,92539,509,-0.5292,23,270760,1530,38859531.64,220121,2022,17
17,12,Betlémské světlo,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",8,19,63181,532,-0.73,85,357927,3723,11357218.2,76352,2022,17
18,19,Příšerákovi 2,"AQS, a.s. (divize BIOSCOP)",DEU,2D,6,32,61707,490,-0.4645,27,123372,882,4401949.16,29143,2022,17
19,23,Myši patří do nebe,"Cinemart, a.s.",CZE,"2D, MP4",30,13,54830,964,-0.1658,25,76867,1189,16912673.8,136014,2022,17
20,21,Nejhorší člověk na světě,AEROFILMS s.r.o.,NOR,"2D, MP4",7,9,53375,403,-0.4957,22,169213,1253,3231152.32,22905,2022,17
1,1,Vyšehrad: Fylm,"AQS, a.s. (divize BIOSCOP)",CZE,2D,2,141,18121751.96,102497,-0.3851,223,39770386.26,234368,59106332.44,344549,2022,16
2,,Po čem muži touží 2,"Cinemart, a.s.",CZE,2D,1,222,11902947.2,74041,,39,1100788.32,7099,13030895.52,81334,2022,16
3,2,Fantastická zvířata: Brumbálova tajemství,Vertical Entertainment s.r.o.,USA,"2D, IM2, 4D2, DB2",3,115,4966514.44,28456,-0.5012,166,12355577.18,71792,38610350,226244,2022,16
4,3,Ježek Sonic 2,"Cinemart, a.s.",USA,"2D, 4D2",4,114,4650736,29447,-0.3436,150,8324478.99,52536,38995483.8,250365,2022,16
5,4,Zlouni,"Cinemart, a.s.",USA,2D,2,120,2302600,14817,-0.3479,191,4027086.5,26507,6844622.5,44157,2022,16
6,6,Seveřan,"Cinemart, a.s.",USA,2D,2,59,949707.1,5453,-0.4683,146,2375611,14391,3353336.1,20281,2022,16
7,5,Známí neznámí,"Cinemart, a.s.",CZE,2D,4,67,880502,5009,-0.6768,124,3416470,19767,20626843.12,122752,2022,16
8,9,Proměna,FALCON a.s.,USA,"2D, 3D",7,50,685074,4496,-0.1268,66,890453,5745,13815767.49,89559,2022,16
9,8,Poslední závod,BONTONFILM a.s.,CZE,"2D, MP4",5,47,553117,3881,-0.45,98,1507882.74,10008,14864981.89,99846,2022,16
10,7,Morbius,FALCON a.s.,USA,2D,4,35,350731,1943,-0.7079,77,1477703,8388,12421490.41,71894,2022,16
11,10,Ztracené město,"Cinemart, a.s.",USA,2D,5,16,234784,1261,-0.6736,41,907492,5126,9615405.5,54372,2022,16
12,18,Betlémské světlo,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",7,62,233971,2277,1.0815,58,203077,1812,11170081.2,74374,2022,16
13,11,Batman,Vertical Entertainment s.r.o.,USA,"2D, DB2",8,17,196552,1096,-0.4682,27,493022,2854,38692784.64,219178,2022,16
14,117,Notre-Dame v plamenech ,"AQS, a.s. (divize BIOSCOP)",FRA,2D,1,68,191279,1192,,2,0,286,191279,1478,2022,16
15,13,Tajemství staré bambitky 2,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",11,31,184354,2444,-0.3783,66,377105,3289,49748674.93,349418,2022,16
16,,Mimi & Líza - Zahrada,Pilot Film s.r.o.,SVK,"2D, MP4",1,83,161434,1471,,,,,161434,1471,2022,16
17,16,Encanto,FALCON a.s.,USA,2D,22,11,155690,1169,0.0107,16,184302,1231,16370593.8,109518,2022,16
18,15,Amélie z Montmartru,AEROFILMS s.r.o.,FRA,"2D, MP4",2,5,116365,813,-0.3366,22,239666,1656,437494,3042,2022,16
19,14,Příšerákovi 2,"AQS, a.s. (divize BIOSCOP)",DEU,2D,5,25,115219,822,-0.3921,47,226801,1511,4332089.16,28593,2022,16
20,12,Uncharted,FALCON a.s.,USA,2D,11,12,108697,670,-0.6468,23,376573,2265,40580016.5,241799,2022,16
1,,Vyšehrad: Fylm,"AQS, a.s. (divize BIOSCOP)",CZE,2D,1,211,29467640.62,173470,,35,1214194.22,7684,30681834.84,181154,2022,15
2,1,Fantastická zvířata: Brumbálova tajemství,Vertical Entertainment s.r.o.,USA,"2D, IM2, 4D2, DB2",2,158,9955044.64,57931,-0.3886,225,19729880.72,116881,31243303.02,183927,2022,15
3,2,Ježek Sonic 2,"Cinemart, a.s.",USA,"2D, 4D2",3,138,7084596.99,44591,-0.2657,159,10642393,68118,33104865.8,212973,2022,15
4,10,Zlouni,"Cinemart, a.s.",USA,2D,1,188,3530728.4,23408,5.8566,32,514936,2833,4045664.4,26241,2022,15
5,3,Známí neznámí,"Cinemart, a.s.",CZE,2D,3,103,2723992,15561,-0.4494,159,6089927.3,35401,19053863.12,113537,2022,15
6,,Seveřan,"Cinemart, a.s.",USA,2D,1,124,1785960,10701,,4,28018,437,1813978,11138,2022,15
7,5,Morbius,FALCON a.s.,USA,"2D, DB2",3,67,1200546,6765,-0.4227,114,2534124,14708,11793602.41,68328,2022,15
8,4,Poslední závod,BONTONFILM a.s.,CZE,"2D, MP4",4,74,1005511.74,6161,-0.5195,143,3060622,20643,13809493.89,92118,2022,15
9,7,Proměna,FALCON a.s.,USA,"2D, 3D",6,59,784467,5081,-0.311,73,1258011,8403,13024707.49,84399,2022,15
10,6,Ztracené město,"Cinemart, a.s.",USA,2D,4,35,719186,4026,-0.4213,55,1547866.66,8793,9192315.5,52011,2022,15
11,8,Batman,Vertical Entertainment s.r.o.,USA,2D,7,20,369534,2062,-0.5584,39,1151697,6870,38372744.64,217290,2022,15
12,13,Uncharted,FALCON a.s.,USA,2D,10,19,307717,1775,-0.1957,28,513274,3369,40402463.5,240639,2022,15
13,12,Tajemství staré bambitky 2,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",10,50,296509,2376,-0.3826,67,749114.64,7676,49483724.93,346061,2022,15
14,9,Příšerákovi 2,"AQS, a.s. (divize BIOSCOP)",DEU,2D,4,41,189508,1258,-0.7223,79,713797,4729,4179577.16,27518,2022,15
15,29,Amélie z Montmartru,AEROFILMS s.r.o.,FRA,"2D, MP4",1,18,175395,1203,4.4037,3,81463,573,256858,1776,2022,15
16,14,Encanto,FALCON a.s.,USA,"2D, 3D",21,13,154039,943,-0.4507,26,335970,2976,16184640.8,108061,2022,15
17,17,Nejhorší člověk na světě,AEROFILMS s.r.o.,NOR,"2D, MP4",5,18,126515,883,-0.1497,30,243173,1722,2940964.32,20719,2022,15
18,18,Betlémské světlo,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, DB2",6,39,112400,920,-0.2007,60,301913,2672,10845433.2,71205,2022,15
19,11,Stínohra,FALCON a.s.,CZE,2D,2,37,101591,566,-0.7939,171,592050,3521,693641,4087,2022,15
20,20,Drive My Car,AEROFILMS s.r.o.,JPN,"2D, MP4",2,17,75839,594,-0.1843,25,128939,979,752069,5317,2022,15
1,,Fantastická zvířata: Brumbálova tajemství,Vertical Entertainment s.r.o.,USA,"2D, IM2, 4D2, DB2",1,217,16281573.52,96537,,52,1558377.66,9115,17839951.18,105652,2022,14
2,1,Ježek Sonic 2,"Cinemart, a.s.",USA,2D,2,156,9647192,61851,-0.3144,206,15377875.81,100214,25025067.81,162115,2022,14
3,2,Známí neznámí,"Cinemart, a.s.",CZE,2D,2,141,4946436.64,28399,-0.3994,233,10182933.82,61491,15186380.46,90974,2022,14
4,4,Poslední závod,BONTONFILM a.s.,CZE,"2D, MP4",3,108,2092271,12613,-0.3438,149,4234546,26034,11835631.15,77927,2022,14
5,3,Morbius,FALCON a.s.,USA,"2D, DB2",2,106,2079389,11985,-0.681,192,7423638.92,43299,10138321.41,58840,2022,14
6,5,Ztracené město,"Cinemart, a.s.",USA,2D,3,46,1242614.66,6838,-0.5115,67,3004793.52,16696,8167877.5,46030,2022,14
7,7,Proměna,FALCON a.s.,USA,"2D, 3D",5,67,1138551,7269,-0.3342,69,1843643,11381,12120780.49,78184,2022,14
8,6,Batman,Vertical Entertainment s.r.o.,USA,"2D, DB2",6,32,836668,4573,-0.6015,65,2541383.98,14332,37688181.64,212931,2022,14
9,8,Příšerákovi 2,"AQS, a.s. (divize BIOSCOP)",DEU,2D,3,75,682182,4499,-0.4132,88,1244117.16,7999,3958454.16,26030,2022,14
10,,Zlouni,"Cinemart, a.s.",USA,2D,-1,32,514936,2833,,,,,514936,2833,2022,14
11,,Stínohra,FALCON a.s.,CZE,2D,1,150,492760,2894,,,,,492760,2894,2022,14
12,9,Tajemství staré bambitky 2,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",9,49,480186.64,4058,-0.4661,85,1009846,8395,48918287.93,340067,2022,14
13,10,Uncharted,FALCON a.s.,USA,2D,9,20,382581,2153,-0.5698,35,1003484,5766,39964053.5,237648,2022,14
14,11,Encanto,FALCON a.s.,USA,2D,20,18,280392,2180,-0.3794,26,488995,3458,15975023.8,106322,2022,14
15,23,Myši patří do nebe,"Cinemart, a.s.",CZE,"2D, MP4",27,24,177729,2338,0.9639,36,144982,2542,16646373.8,131738,2022,14
16,13,Nejhorší člověk na světě,AEROFILMS s.r.o.,NOR,"2D, MP4",4,18,148785,1050,-0.5445,35,469722,3510,2720061.32,19164,2022,14
17,12,Betlémské světlo,"AQS, a.s. (divize BIOSCOP)",CZE,2D,5,26,140608,866,-0.6661,71,575548,3766,10571728.2,68479,2022,14
18,21,Zátopek,FALCON a.s.,CZE,"2D, MP4",33,24,122777,1562,0.3075,30,159968,2095,60576237.72,407615,2022,14
19,16,Drive My Car,AEROFILMS s.r.o.,JPN,"2D, MP4",1,14,92966,695,-0.3241,28,206513,1401,640257,4439,2022,14
20,18,Zpívej 2,"Cinemart, a.s.",USA,2D,16,9,56644,640,-0.5266,15,141611,1147,24975466.96,168734,2022,14
1,,Ježek Sonic 2,"Cinemart, a.s.",USA,"2D, 4D2",1,203,14030522.81,91747,,1,0,50,14030522.81,91797,2022,13
2,131,Známí neznámí,"Cinemart, a.s.",CZE,2D,1,220,8229308.12,49561,,7,57010,1839,8286318.12,51400,2022,13
3,,Morbius,FALCON a.s.,USA,"2D, IM2, 4D2, DB2",1,180,6557768.92,38099,,38,635293.49,3556,7193062.41,41655,2022,13
4,1,Poslední závod,BONTONFILM a.s.,CZE,"2D, MP4",2,113,3173363,18863,-0.1422,264,5207385.15,35034,8631783.15,57654,2022,13
5,2,Ztracené město,"Cinemart, a.s.",USA,2D,2,58,2543579.52,14039,-0.1143,183,3864803.32,22143,6464048.84,36535,2022,13
6,3,Batman,Vertical Entertainment s.r.o.,USA,"2D, DB2",5,47,2058797.66,11420,-0.1046,75,2933897.45,16486,35816530.2,204739,2022,13
7,6,Proměna,FALCON a.s.,USA,"2D, 3D",4,65,1688459,10358,0.5743,80,1292477,8176,10817295.49,69832,2022,13
8,4,Příšerákovi 2,"AQS, a.s. (divize BIOSCOP)",DEU,2D,2,84,1158074.16,7398,-0.1821,214,1643006,11455,3187164.16,20912,2022,13
9,5,Uncharted,FALCON a.s.,USA,2D,8,29,889194,5015,-0.1726,51,1327436.99,7941,39426151.5,234560,2022,13
10,7,Tajemství staré bambitky 2,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",8,70,856364,6518,0.2841,106,847462,7376,48074081.29,331051,2022,13
11,13,Encanto,FALCON a.s.,USA,2D,19,19,449576,3014,1.328,30,220164,1745,15654392.8,103678,2022,13
12,8,Betlémské světlo,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, DB2",4,46,416579,2528,-0.3746,121,1039467.1,6628,10230824.2,66090,2022,13
13,12,Nejhorší člověk na světě,AEROFILMS s.r.o.,NOR,"2D, MP4",3,19,326618,2085,0.1673,37,432778,2737,2424792.32,16681,2022,13
14,18,Drive My Car,AEROFILMS s.r.o.,JPN,"2D, MP4",-1,14,137601,896,0.2036,43,191764,1280,477419,3231,2022,13
15,14,Srdce na dlani,"Cinemart, a.s.",CZE,2D,11,14,120778,942,-0.3167,31,246273,1716,27208150.17,176076,2022,13
16,21,Zpívej 2,"Cinemart, a.s.",USA,2D,15,10,119641,883,0.1376,26,126177,1114,24894098.96,167781,2022,13
17,17,Mimořádná událost,"Cinemart, a.s.",CZE,2D,9,14,114249,745,-0.0883,38,220029,1622,16206506.31,105198,2022,13
18,20,Velký červený pes Clifford,"Cinemart, a.s.",USA,2D,13,12,100794,932,-0.0633,24,131892,1310,14507412.17,97903,2022,13
19,,Cyrano,Forum Film Czech s.r.o.,GBR,2D,1,47,91137,536,,,,,101355,599,2022,13
20,25,Zátopek,FALCON a.s.,CZE,"2D, MP4",32,17,89095,1075,1.3262,18,123594,1690,60378007.72,404781,2022,13
1,21,Poslední závod,BONTONFILM a.s.,CZE,"2D, MP4",1,240,3699222.5,25013,37.4374,14,156495,3061,3950257.5,28770,2022,12
2,,Ztracené město,"Cinemart, a.s.",USA,"2D, 4D2",1,163,2871767.41,16708,,17,55666,353,2927433.41,17061,2022,12
3,1,Batman,Vertical Entertainment s.r.o.,USA,"2D, IM2, 4D2, DB2",4,64,2299106.59,12748,-0.5178,130,5739641.22,32516,33122941.68,189581,2022,12
4,14,Příšerákovi 2,"AQS, a.s. (divize BIOSCOP)",DEU,2D,1,210,1415793,9977,2.667,31,386084,2059,1801877,12036,2022,12
5,4,Uncharted,FALCON a.s.,USA,"2D, 2DL",7,46,1074558.33,6313,-0.4908,71,2443464.98,14196,38284078.84,227917,2022,12
6,2,Proměna,FALCON a.s.,USA,"2D, 3D",3,75,1072490,6757,-0.6356,166,3187941.51,20809,8908849.49,58055,2022,12
7,5,Tajemství staré bambitky 2,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",7,92,666892,5410,-0.6683,161,2244806,17006,47037147.29,322567,2022,12
8,3,Betlémské světlo,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, DB2",3,97,665999.1,4107,-0.6857,190,2656525,16506,9440777.2,61041,2022,12
9,6,Spider-Man: Bez domova,FALCON a.s.,USA,"2D, 3D",15,31,308776,1884,-0.5778,43,816579,4865,111418677.79,670532,2022,12
10,8,Nejhorší člověk na světě,AEROFILMS s.r.o.,NOR,"2D, MP4",2,30,279784,1723,-0.5659,72,915918.32,6287,1945180.32,13582,2022,12
11,9,Encanto,FALCON a.s.,USA,2D,18,27,193115,1502,-0.6324,30,552857,3573,15177767.8,100421,2022,12
12,12,Srdce na dlani,"Cinemart, a.s.",CZE,2D,10,25,176745,1200,-0.57,60,543182.72,4115,27017844.17,174618,2022,12
13,10,"V létě ti řeknu, jak se mám",FALCON a.s.,CZE,2D,6,30,161369,1126,-0.6531,73,556030.4,3476,13509236.46,85499,2022,12
14,7,Ambulance,"Cinemart, a.s.",USA,"2D, IM2, DB2",2,62,154962,893,-0.7834,137,850698.58,4799,1005660.58,5885,2022,12
15,13,Mimořádná událost,"Cinemart, a.s.",CZE,2D,8,22,125307,814,-0.6932,79,580203,3952,15997535.31,103645,2022,12
16,,Drive My Car,AEROFILMS s.r.o.,JPN,2D,1,25,114321,742,,,,,262375,1797,2022,12
17,15,Smrt na Nilu,FALCON a.s.,USA,2D,7,13,110675,598,-0.6134,43,371290,2230,8532891.99,50573,2022,12
18,16,Velký červený pes Clifford,"Cinemart, a.s.",USA,2D,12,22,107601,965,-0.6163,35,311895,2458,14382327.17,96626,2022,12
19,11,Zpívej 2,"Cinemart, a.s.",USA,2D,14,23,105169,888,-0.7571,45,453559,3287,24753449.96,166672,2022,12
20,20,Myši patří do nebe,"Cinemart, a.s.",CZE,"2D, MP4",25,27,88290,1376,-0.4738,48,197179,2423,16248214.8,125661,2022,12
1,1,Batman,Vertical Entertainment s.r.o.,USA,"2D, IM2, 4D2, DB2",3,120,4767212.88,26936,-0.327,141,9102600.42,51085,29851406.75,171253,2022,11
2,3,Proměna,FALCON a.s.,USA,"2D, 3D",2,162,2942460.17,19273,-0.2492,194,4648417.98,30489,7590878.15,49762,2022,11
3,2,Betlémské světlo,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, DB2",2,173,2118395,13070,-0.524,245,5767503.1,36977,8236648.1,53498,2022,11
4,5,Uncharted,FALCON a.s.,USA,"2D, 4D2, 2DL",6,60,2110026.3,12177,-0.2004,88,3395865.42,20035,36876081.83,219585,2022,11
5,4,Tajemství staré bambitky 2,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",6,155,2010154,14577,-0.2389,179,3221822,24415,46135603.29,314728,2022,11
6,7,Spider-Man: Bez domova,FALCON a.s.,USA,"2D, 3D, 4D3",14,37,731345,4321,-0.1881,49,1168037,6949,111024667.79,668104,2022,11
7,,Ambulance,"Cinemart, a.s.",USA,"2D, IM2, DB2",1,129,715286.36,4015,,2,0,193,715286.36,4208,2022,11
8,17,Nejhorší člověk na světě,AEROFILMS s.r.o.,NOR,"2D, MP4",1,51,644513,4363,4.292,51,197759,1424,1393991,9935,2022,11
9,9,Encanto,FALCON a.s.,USA,2D,17,29,525243,3414,0.0015,28,663909,4091,14957038.8,98760,2022,11
10,8,"V létě ti řeknu, jak se mám",FALCON a.s.,CZE,2D,5,55,465105.4,2733,-0.2943,72,888390,5140,13256942.46,83630,2022,11
11,11,Zpívej 2,"Cinemart, a.s.",USA,2D,13,45,432901,3160,-0.0051,40,542084,3583,24627622.96,165657,2022,11
12,10,Srdce na dlani,"Cinemart, a.s.",CZE,2D,9,41,410940.72,2811,-0.0562,59,629299,4442,26708857.17,172114,2022,11
13,12,Mimořádná událost,"Cinemart, a.s.",CZE,2D,7,54,408343,2564,-0.0459,77,654462,4395,15700368.31,101443,2022,11
14,,Příšerákovi 2,"AQS, a.s. (divize BIOSCOP)",DEU,2D,-1,31,386084,2059,,,,,386084,2059,2022,11
15,13,Smrt na Nilu,FALCON a.s.,USA,2D,6,28,286270,1647,-0.2662,49,526764,3082,8337196.99,49392,2022,11
16,14,Velký červený pes Clifford,"Cinemart, a.s.",USA,2D,11,32,280421,2043,-0.1914,40,463337,3345,14243252.17,95246,2022,11
17,,Haute Couture,Bohemia Motion Pictures a.s.,FRA,"2D, MP4",1,80,239653,1407,,,,,315154,2155,2022,11
18,15,Pes,BONTONFILM a.s.,USA,2D,4,29,218899,1341,-0.3424,41,455484,2710,3403206.83,21295,2022,11
19,20,Myši patří do nebe,"Cinemart, a.s.",CZE,"2D, MP4",24,42,167778,1979,0.9726,20,125627,1472,16130523.8,123841,2022,11
20,,Poslední závod,BONTONFILM a.s.,CZE,2D,-1,5,96240,765,,4,79690,546,190780,1461,2022,11
1,1,Batman,Vertical Entertainment s.r.o.,USA,"2D, IM2, 4D2, DB2",2,130,7083484.2,39577,-0.3693,221,14505672.17,84847,23065077.65,132809,2022,10
2,17,Betlémské světlo,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, DB2",1,237,4450384.1,28525,30.9601,16,190880,2365,4801134.1,31976,2022,10
3,,Proměna,FALCON a.s.,USA,"2D, 3D",1,191,3918783.98,25923,,,,,3918783.98,25923,2022,10
4,2,Tajemství staré bambitky 2,"AQS, a.s. (divize BIOSCOP)",CZE,"2D, MP4",5,159,2640869,19728,-0.4039,181,5180577,35553,43544496.29,295464,2022,10
5,3,Uncharted,FALCON a.s.,USA,"2D, IM2, DB2, 2DL",5,74,2638798.08,15448,-0.2356,95,4314870.26,26307,34008988.19,202821,2022,10
6,5,Spider-Man: Bez domova,FALCON a.s.,USA,"2D, 3D",13,42,900682,5278,-0.3214,55,1702539.1,10420,110025967.79,662112,2022,10
7,4,"V létě ti řeknu, jak se mám",FALCON a.s.,CZE,2D,4,54,659030,3709,-0.5117,116,1779590.32,10946,12562477.06,79466,2022,10
8,6,Encanto,FALCON a.s.,USA,"2D, 3D",16,26,524434,3114,-0.4993,39,1306954,8403,14292320.8,94369,2022,10
9,8,Srdce na dlani,"Cinemart, a.s.",CZE,2D,8,37,435378,2644,-0.5473,110,1521907,11493,26103995.45,167505,2022,10
10,7,Zpívej 2,"Cinemart, a.s.",USA,2D,12,38,435117,2797,-0.5843,59,1280141.64,9057,24087754.96,161711,2022,10
11,9,Mimořádná událost,"Cinemart, a.s.",CZE,2D,6,53,427946,2720,-0.531,124,1330181.32,8846,15065509.31,97204,2022,10
12,12,Smrt na Nilu,FALCON a.s.,USA,2D,5,38,390088,2259,-0.3817,69,840127,4898,7914250.99,46922,2022,10
13,10,Velký červený pes Clifford,"Cinemart, a.s.",USA,2D,10,31,346774,2353,-0.6154,57,1114071,7687,13846268.17,92211,2022,10
14,11,Pes,BONTONFILM a.s.,USA,2D,3,31,332862,1944,-0.5476,84,937219.32,5582,3061685.83,19188,2022,10
